name,address,rating,number_of_reviews,affluence
"Jamal Store, Joykul Bazaar","Unnamed Road, Kawkhali, Bangladesh",0.0,0.0,0.0
Salma Varaitis Store,"Kawkhali bowlakanda, কাউখালি, Bangladesh",5.0,1.0,0.0
হাজী বিরিয়ানি হাউজ,"Charkhali - Mathbaria – Patharghata Rd, Mathbaria, Bangladesh",5.0,1.0,0.0
নিউ মুসলিম সুইটস এণ্ড বেকারি,"সদর রোড, Mathbaria, Bangladesh",5.0,4.0,0.0
মেসার্স সততা হোটেল এন্ড রেস্টুরেন্ট,"7XP5+P69, Mathbaria, Bangladesh",0.0,0.0,0.0
Sharif food fair,"7XQ5+WJX, Mathbaria, Bangladesh",5.0,2.0,0.0
সোহেল রানা কাটোল ফাম,"College Rd, Mathbaria, Bangladesh",5.0,1.0,0.0
মেসার্স সৌখিন ষ্টীল এন্ড পার্টেক্স ফার্নিচার,"7XP4+9WW, Mathbaria, Bangladesh",0.0,0.0,0.0
বাইতুস সালাম ইসলামিয়া মাদ্রাসা,"Sabujnajar Rd, Mathbaria, Bangladesh",4.5,2.0,0.0
গৌরি হিন্দু হোটেল,"Sadar Road, Mathbaria, Bangladesh",0.0,0.0,0.0
মোঃরাছেল স্টোর,"7XR5+R63, Mathbaria, Bangladesh",5.0,1.0,0.0
Food Club The Caterer's,"Super Market Rd, Mathbaria, Bangladesh",4.5,8.0,0.0
ক্যাফে আড্ডা মঠবাড়িয়া,"7XP5+M89, Mathbaria, Bangladesh",3.9,165.0,2.0
New Muslim Sweets & bekare,"7XQ5+FFQ, Mathbaria, Bangladesh",5.0,3.0,0.0
মোঘল,"Super Market Rd, Mathbaria, Bangladesh",4.3,3.0,0.0
Star Kebab Plus,"7XR5+HMM, Mathbaria, Bangladesh",4.0,9.0,0.0
"পুরাতন জিন্দেগী হোটেল, মঠবাড়িয়া","376 Charkhali - Mathbaria – Patharghata Rd, Mathbaria, Bangladesh",5.0,3.0,0.0
Afzal Hotel,"7XP5+P53, Mathbaria, Bangladesh",4.0,19.0,0.0
Gazi Hotel And Restaurant,"7XQ5+2W9, Mathbaria, Bangladesh",4.3,3.0,0.0
Ruposi Bangla hotel & Restaurant,"1 Sabujnajar Rd, Mathbaria 8560, Bangladesh",5.0,1.0,0.0
সুমাইয়া স্টোর,"Gholarhat, Bangladesh",3.0,1.0,0.0
Friend Coffee Zone,"QXPJ+MGQ, Malikhali Union, Bangladesh",0.0,0.0,0.0
Nimai Store,"Q2J3+93Q, Daulbari Dobra Union, Bangladesh",0.0,0.0,0.0
প্রাণকেন্দ্র (পরিমল দার গুগলী টি স্টল),"Dirgha Batiakatha Rd, Daulbari Dobra Union 8541, Bangladesh",5.0,4.0,0.0
Toma Traders,"College road, Swarupkathi 8520, Bangladesh",4.9,13.0,0.0
রাকিব টি ষ্টোর,"Q457+57G, Swarupkathi, Bangladesh",0.0,0.0,0.0
ঘরোয়া (স্বরূপকাঠী),"রোড, Swarupkathi, Bangladesh",5.0,1.0,0.0
হাসান টি শপ,"Q457+467, Swarupkathi, Bangladesh",1.0,1.0,0.0
Nayem Restaurant,"P4W3+X3P, Swarupkathi, Bangladesh",3.0,2.0,0.0
নুরে ছারছীনার স্টোর,"ছারছীনা, স্বরুপকাঠি - বরিশাল রোড, স্বরূপকাঠী, Bangladesh",1.0,1.0,0.0
Touhid Tea Store,"Swarupkathi Bridge, Swarupkathi, Bangladesh",4.1,37.0,1.0
"দুলাল চটপটি,ফুসকা ও হালিম হাউস।","Unnamed Road, Swarupkathi, Bangladesh",5.0,1.0,0.0
মান্নু টি কর্নার,"Q457+RP6, Swarupkathi, Bangladesh",0.0,0.0,0.0
নেছারীয়া রেস্টুরেন্ট,"Sadar Road, Swarupkathi, Bangladesh",5.0,1.0,0.0
ছারছীনা লিল্লাহ বোডিং,"Q433+QCM, Swarupkathi, Bangladesh",5.0,1.0,0.0
Cafe Treats ক্যাফে ট্রিট্স,"Unnamed Road, Swarupkathi, Bangladesh",4.6,5.0,0.0
ছারছীনা মুসাফিরখানা,"Q443+CFQ, Swarupkathi, Bangladesh",0.0,0.0,0.0
ছারছীনা মাহফিলের খাবার মাঠ,"Q453+4FJ, Swarupkathi, Bangladesh",5.0,1.0,0.0
ঢাকা বিরায়ানি হাউজ,"P4W3+66V, Swarupkathi, Bangladesh",5.0,2.0,0.0
Kobita Fast Food,"P4P5+9PF, Swarupkathi, Bangladesh",5.0,1.0,0.0
Rajmoni Chotpoti & Fuchka রাজমনি চটপটি এন্ড ফুচকা,"Bus Station, Pirojpur - Swarupkathi Rd, Swarupkathi, Bangladesh",5.0,1.0,0.0
Moharaj Hotel মহারাজ হোটেল,"P3WX+8C6, Swarupkathi, Bangladesh",0.0,0.0,0.0
